nomor_pendaftaran,JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8,X9,XT,IP Sem 1,IP Sem 2,Predikat Semester 1,Predikat Semester 2
4180387907,P,Reguler,SMAN 1 CIKATOMAS,Kab Tasikmalaya,Jawa Barat,MANAJEMEN,EKONOMI SYARIAH,163,81.48,Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2,10.6,72.8,,,,
4180387976,P,Reguler,SMAS ISLAM CIPASUNG,Kab Tasikmalaya,Jawa Barat,MANAJEMEN,PENDIDIKAN MATEMATIKA,96,84.26,Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5,10.6,74.9,,,,
4180388017,P,Bidik Misi,SMA NEGERI 1 PACET,Kab Cianjur,Jawa Barat,PENDIDIKAN BIOLOGI,PENDIDIKAN BAHASA INGGRIS ,73,83.33,Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4,7.5,71.1,,,,
4180388102,P,Bidik Misi,SMAS PGRI CIBADAK,Kab Sukabumi,Jawa Barat,TEKNIK ELEKTRO ,AGROTEKNOLOGI ,21,81.44,Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2,7.5,69.7,,,,
4180388110,P,Reguler,SMAN 1 CILEUNYI,Kab Bandung,Jawa Barat,GIZI,AGRIBISNIS ,235,83.32,Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4,7.5,70.2,,,,
4180388312,P,Reguler,SMAS TAMAN HARAPAN 2,Kota Bekasi,Jawa Barat,PENDIDIKAN MATEMATIKA,AGRIBISNIS,72,89.09,PENDIDIKAN MATEMATIKA,pil_1,11.3,11.1,1,0,11.1,11.1,11.1,11.1,7.5,75.4,,,,
4180388356,P,Reguler,SMAN 1 CIKATOMAS,Kab Tasikmalaya,Jawa Barat,EKONOMI SYARIAH,MANAJEMEN,163,81.57,Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2,10.6,72.8,,,,
4180400644,P,Reguler,MAS PERSIS BENDA,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN MATEMATIKA,PENDIDIKAN BIOLOGI,50,88.63,PENDIDIKAN MATEMATIKA,pil_1,10.9,11.1,1,0,11.1,11.1,11.1,11.1,11.3,78.6,,,,
4180389211,L,Reguler,SMAN 1 CIGUGUR,Kab Kuningan,Jawa Barat,"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI ",MANAJEMEN,160,79.93,Tidak Lulus,Tidak Lulus,10,10,1,0,10,10,10,10,7.5,68.4,,,,
4180389345,P,Reguler,SMAS TAMAN HARAPAN 2,Kota Bekasi,Jawa Barat,PENDIDIKAN BIOLOGI,Tidak Memilih,72,85.94,PENDIDIKAN BIOLOGI,pil_1,10.8,10.7,1,0,10.7,10.7,10.7,10.7,7.5,73.1,0,0,,
4180389385,P,Bidik Misi,SMAS TAMAN HARAPAN 2,Kota Bekasi,Jawa Barat,PENDIDIKAN EKONOMI,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,37,84.01,Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5,7.5,71.6,,,,
4180389862,L,Reguler,SMAS TARUNA ANDHIGA,Kota Bogor,Jawa Barat,MANAJEMEN,ILMU POLITIK,32,79.17,Tidak Lulus,Tidak Lulus,9.9,9.9,1,0,9.9,9.9,9.9,9.9,7.5,67.9,,,,
4180390062,L,Reguler,SMAN 1 TAMBUN UTARA,Kab Bekasi,Jawa Barat,EKONOMI SYARIAH,TEKNIK INFORMATIKA,184,80.55,Tidak Lulus,Tidak Lulus,10.1,10.1,1,0,10.1,10.1,10.1,10.1,7.5,69,,,,
4180023382,P,Reguler,SMAS PGRI 43 SINGAPARNA,Kab Tasikmalaya,Jawa Barat,PENDIDIKAN SEJARAH,PENDIDIKAN GEOGRAFI,40,83.5,PENDIDIKAN SEJARAH,pil_1,10.4,10.4,1,0,10.4,10.4,10.4,10.4,10.6,74.2,,,,
4180390142,P,Reguler,SMAN 1 BUKIT SUNDI,Kab Solok,Sumatera Barat,AKUNTANSI,KESEHATAN MASYARAKAT,88,89.7,Tidak Lulus,Tidak Lulus,11.3,11.2,1,0,11.2,11.2,11.2,11.2,7.5,75.9,,,,
4180263680,P,Reguler,SMAS YKBBB LELES,Kab Garut,Jawa Barat,PENDIDIKAN EKONOMI,PENDIDIKAN SEJARAH,92,83.29,PENDIDIKAN SEJARAH,pil_2,10.4,10.4,1,0,10.4,10.4,10.4,10.4,9.4,72.9,,,,
4180391544,L,Reguler,SMAN 1 KARANGNUNGGAL,Kab Tasikmalaya,Jawa Barat,MANAJEMEN,TEKNIK INFORMATIKA,82,84.43,Tidak Lulus,Tidak Lulus,10.7,10.6,1.2,0,10.6,10.6,10.6,10.6,10.6,75.3,,,,
4180391720,L,Bidik Misi,SMAN 21 GARUT,Kab Garut,Jawa Barat,AGROTEKNOLOGI ,AGRIBISNIS ,61,81.81,Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2,9.4,71.8,,,,
4180392032,P,Reguler,SMAN 1 BABAKAN MADANG,Kab Bogor,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,110,82.97,Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4,7.5,70.8,,,,
4180392132,P,Bidik Misi,SMAS YAB SUKARATU,Kab Tasikmalaya,Jawa Barat,PENDIDIKAN FISIKA,PENDIDIKAN LUAR SEKOLAH,19,86.67,Tidak Lulus,Tidak Lulus,10.9,10.8,1,0,10.8,10.8,10.8,10.8,10.6,76.7,,,,
4180392257,P,Reguler,SMAS AL BASHRY,Kab Sukabumi,Jawa Barat,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,MANAJEMEN,41,80.77,Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1,7.5,69.2,,,,
4180392468,P,Bidik Misi,SMAS TAMAN HARAPAN 2,Kota Bekasi,Jawa Barat,EKONOMI SYARIAH,Tidak Memilih,37,85.42,Tidak Lulus,Tidak Lulus,10.8,10.7,1,0,10.7,10.7,10.7,10.7,7.5,72.7,,,,
4180392491,P,Reguler,SMAS YPI 45,Kota Bekasi,Jawa Barat,KESEHATAN MASYARAKAT,GIZI,10,82.08,Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3,7.5,70.1,,,,
4180337217,P,Reguler,SMAS TERPADU RIYADLUL ULUM,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN SEJARAH,PENDIDIKAN MATEMATIKA,125,84.13,PENDIDIKAN SEJARAH,pil_1,10.7,10.5,1,0,10.5,10.5,10.5,10.5,11.3,75.5,,,,
4180393274,P,Bidik Misi,SMA NEGERI 1 PACET,Kab Cianjur,Jawa Barat,MANAJEMEN,EKONOMI SYARIAH,73,81.75,Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2,7.5,69.9,,,,
4180393380,P,Bidik Misi,SMA NEGERI 1 PACET,Kab Cianjur,Jawa Barat,AKUNTANSI,MANAJEMEN,73,81.79,Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2,7.5,69.9,,,,
4180393604,L,Bidik Misi,SMAN 21 GARUT,Kab Garut,Jawa Barat,EKONOMI SYARIAH,PENDIDIKAN LUAR SEKOLAH,61,81.07,Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1,9.4,71.2,,,,
